net.n3.nanoxml.NonValidator	protected void processAttList(net.n3.nanoxml.IXMLReader, net.n3.nanoxml.IXMLEntityResolver) throws java.lang.Exception	attributeDefaultValues	B3	0/68
net.n3.nanoxml.NonValidator	protected void processAttList(net.n3.nanoxml.IXMLReader, net.n3.nanoxml.IXMLEntityResolver) throws java.lang.Exception	attributeDefaultValues	B4	0/65
net.n3.nanoxml.NonValidator	protected void processAttList(net.n3.nanoxml.IXMLReader, net.n3.nanoxml.IXMLEntityResolver) throws java.lang.Exception	attributeDefaultValues	B6	0/61
net.n3.nanoxml.NonValidator	protected void processAttList(net.n3.nanoxml.IXMLReader, net.n3.nanoxml.IXMLEntityResolver) throws java.lang.Exception	attributeDefaultValues	B7	0/56
net.n3.nanoxml.NonValidator	protected void processAttList(net.n3.nanoxml.IXMLReader, net.n3.nanoxml.IXMLEntityResolver) throws java.lang.Exception	attributeDefaultValues	B9	0/52
net.n3.nanoxml.NonValidator	protected void processAttList(net.n3.nanoxml.IXMLReader, net.n3.nanoxml.IXMLEntityResolver) throws java.lang.Exception	attributeDefaultValues	B10	0/51
net.n3.nanoxml.NonValidator	protected void processAttList(net.n3.nanoxml.IXMLReader, net.n3.nanoxml.IXMLEntityResolver) throws java.lang.Exception	attributeDefaultValues	B33	0/2
net.n3.nanoxml.XMLWriter	public void write(net.n3.nanoxml.IXMLElement, boolean, int, boolean) throws java.io.IOException	writer	B1	0/62
nanoxml.XMLElement	protected void writeEncoded(java.io.Writer, java.lang.String) throws java.io.IOException	writer	B2	0/46
org.jhotdraw.draw.action.ToolBarButtonFactory	public static void addStrokePlacementButtonTo(javax.swing.JToolBar, org.jhotdraw.draw.DrawingEditor) 	strokePlacementPopupButton	B1	0/41
net.n3.nanoxml.XMLWriter	private void writeEncoded(java.lang.String) 	writer	B2	0/26
nanoxml.XMLElement	protected boolean checkCDATA(java.lang.StringBuffer) throws java.io.IOException	buf	B5	0/24
nanoxml.XMLElement	protected boolean checkCDATA(java.lang.StringBuffer) throws java.io.IOException	buf	B6	0/23
org.jhotdraw.draw.TriangleFigure	public sealed java.awt.geom.Rectangle2D.Double getFigureDrawBounds() 	width	B1	0/18
org.jhotdraw.samples.svg.SVGApplicationModel	private void addCreationButtonsTo(javax.swing.JToolBar, org.jhotdraw.draw.DrawingEditor) 	drawLabels	B1	0/18
org.jhotdraw.samples.svg.SVGPanel	private void addCreationButtonsTo(javax.swing.JToolBar, org.jhotdraw.draw.DrawingEditor) 	drawLabels	B1	0/18
net.n3.nanoxml.NonValidator	protected void processElement(net.n3.nanoxml.IXMLReader, net.n3.nanoxml.IXMLEntityResolver) throws java.lang.Exception	ch	B3	0/17
net.n3.nanoxml.NonValidator	protected void processElement(net.n3.nanoxml.IXMLReader, net.n3.nanoxml.IXMLEntityResolver) throws java.lang.Exception	entityResolver	B3	0/17
net.n3.nanoxml.NonValidator	protected void processElement(net.n3.nanoxml.IXMLReader, net.n3.nanoxml.IXMLEntityResolver) throws java.lang.Exception	str	B3	0/17
org.jhotdraw.draw.action.ToolBarButtonFactory	public static void addStrokeTypeButtonTo(javax.swing.JToolBar, org.jhotdraw.draw.DrawingEditor) 	strokeTypePopupButton	B1	0/17
org.jhotdraw.draw.BezierControlPointHandle	public void trackEnd(java.awt.Point, java.awt.Point, int) 	figure	B1	0/17
org.jhotdraw.draw.BezierControlPointHandle	public void trackEnd(java.awt.Point, java.awt.Point, int) 	figure	B2	0/15
nanoxml.XMLElement	protected void skipSpecialTag(int) throws java.io.IOException	stringDelimiter	B11	0/16
nanoxml.XMLElement	protected void resolveEntity(java.lang.StringBuffer) throws java.io.IOException	buf	B2	0/16
nanoxml.XMLElement	protected void resolveEntity(java.lang.StringBuffer) throws java.io.IOException	buf	B6	0/11
org.jhotdraw.samples.net.NetApplicationModel	public sealed List<javax.swing.JMenu> createMenus(org.jhotdraw.app.Application, org.jhotdraw.app.Project) 	m	B1	0/15
org.jhotdraw.samples.pert.PertApplicationModel	public sealed List<javax.swing.JMenu> createMenus(org.jhotdraw.app.Application, org.jhotdraw.app.Project) 	m	B1	0/15
org.jhotdraw.draw.BezierControlPointHandle	public void trackEnd(java.awt.Point, java.awt.Point, int) 	v	B2	0/15
net.n3.nanoxml.CDATAReader	public sealed void close() throws java.io.IOException	reader	B1	0/14
org.jhotdraw.app.action.DeleteAction	public void deleteNextChar(java.awt.event.ActionEvent) 	beep	B1	0/14
org.jhotdraw.app.action.DeleteAction	public void deleteNextChar(java.awt.event.ActionEvent) 	beep	B2	0/10
org.jhotdraw.draw.SelectionTool	public sealed void mousePressed(java.awt.event.MouseEvent) 	tracker	B1	0/14
org.jhotdraw.draw.SelectionTool	public sealed void mousePressed(java.awt.event.MouseEvent) 	tracker	B8	0/2
org.jhotdraw.draw.action.JPopupButton	private void showPopup(java.awt.event.MouseEvent) 	popupMenu	B2	0/13
org.jhotdraw.draw.action.JPopupButton	private void showPopup(java.awt.event.MouseEvent) 	x	B2	0/13
org.jhotdraw.draw.action.JPopupButton	private void showPopup(java.awt.event.MouseEvent) 	y	B2	0/13
org.jhotdraw.draw.action.ToolBarButtonFactory	public static void addStrokeDashesButtonTo(javax.swing.JToolBar, org.jhotdraw.draw.DrawingEditor) 	strokeDashesPopupButton	B1	0/13
org.jhotdraw.draw.DelegationSelectionTool	protected void showPopupMenu(org.jhotdraw.draw.Figure, java.awt.Point, java.awt.Component) 	popupActions	B1	0/12
org.jhotdraw.draw.RoundRectangleFigure	public java.awt.geom.Point2D.Double chop(java.awt.geom.Point2D.Double) 	grow	B1	0/12
org.jhotdraw.draw.SelectionTool	public sealed void mousePressed(java.awt.event.MouseEvent) 	newTracker	B1	0/12
org.jhotdraw.draw.ChopBoxConnector	protected java.awt.geom.Point2D.Double chop(org.jhotdraw.draw.Figure, java.awt.geom.Point2D.Double) 	grow	B2	0/12
